Unnamed: 0,Source_ID,Target_ID,Source_Mol,Target_Mol,Source_Mol_pCMC,Target_Mol_pCMC,Delta_pCMC
167,compound_29,compound_273,CCCC(O)OCCOCCOCCOCCOCCOCC,CCCCCCOOCCOCCOCCOCCOCC,0.0969100130080563,1.01700554534134,"(0.9, 1.1]"
827,compound_186,compound_184,CCCCCCCCCCCCOOCCOCCOCCOCC,CCCCCCCCCCCCOOCCOCC,4.19402364928244,4.48095996135166,"(0.1, 0.3]"
655,compound_270,compound_210,CCCCCCOCOC1[CH][C@H](O)[C@@H](O)C(O)O1,CCCCCCCCCOC1[CH][C@H](O)[C@@H](O)C(O)O1,2.0,2.6779875614176003,"(0.5, 0.7]"
476,compound_237,compound_403,CCCCCCCCSCC(CO)OCC(O)CO,CCCCCCCCSC(O)[C@H]1OC(=O)[C@@H](O)[C@@H]1O,2.07099001450604,3.3187587626244106,"(1.1, 1.3]"
1118,compound_401,compound_385,CCCCCCCCO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,1.7958800173440803,3.15490195998574,"(1.3, 1.5]"
693,compound_265,compound_228,CCCCCCOC1[CH][C@H](O)[C@@H](O)C(O)O1,CCCCCCCCOCOC1[CH][C@H](O)[C@@H](O)C(O)O1,2.02701077314465,2.35704112059021,"(0.3, 0.5]"
290,compound_25,compound_38,CCC=COOCCOCCOCCOCCOCCOCC,CCCCCCCC(O)OCCOCCOCCOCCOCCOCC,0.049002666011195,2.00436480540245,"(1.9, 2.1]"
739,compound_280,compound_279,CCCCOC1[CH][C@H](O)[C@@H](O)C(O)O1,CCCCCSC1[CH][C@H](O)[C@@H](O)C(O)O1,1.23702150913226,1.33695902510603,"(-0.1, 0.1]"
55,compound_349,compound_394,CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,CCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1N,1.23657200643706,2.15490195998574,"(0.9, 1.1]"
50,compound_419,compound_380,CCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,0.920818753952375,2.744727494896689,"(1.7, 1.9]"
47,compound_419,compound_411,CCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,0.920818753952375,2.0362121726544498,"(1.1, 1.3]"
201,compound_400,compound_345,CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CCCCCCCCC(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1.69897000433602,2.3467874862246605,"(0.5, 0.7]"
888,compound_243,compound_240,CCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCC)cc1,CCCCCCCCc1ccc(OCCOCCOCCOCC)cc1,3.60205999132796,3.88605664769316,"(0.1, 0.3]"
484,compound_237,compound_408,CCCCCCCCSCC(CO)OCC(O)CO,CCCCCCCCSC[C@H](O)[C@H](O)[C@@H](O)CO,2.07099001450604,2.92081875395238,"(0.7, 0.9]"
176,compound_277,compound_424,CCCCCOCCOCCOCCOCCOCCOCCO,COCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.7546094655990601,1.88605664769316,"(1.1, 1.3]"
867,compound_258,compound_243,CCCCCCCCc1ccccc1OOCCOCCOCCOCCOCCOCCOCCOCC,CCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCC)cc1,3.5529971015338395,3.60205999132796,"(-0.1, 0.1]"
1133,compound_198,compound_389,CCCCCCCCCCOC1[CH][C@H](O)[C@@H](O)C(O)O1,CCCCCCCCCCSC[C@H](O)[C@H](O)[C@@H](O)CO,3.09199779882745,3.39794000867204,"(0.3, 0.5]"
1167,compound_383,compound_202,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.8860566476931604,2.9403436183929403,"(-0.1, 0.1]"
